iteration,time_out,hand_wrist_away,object_away,ep_len,mean_reward,voc,obj_pos_err,obj_rot_err,rw_err,lw_err,rf_err,lf_err,R_force_closure,R_object_kp,R_hand_kp,R_hand_joint,R_termination
61,0.9976,0.0,0.0024,248.55,35.37,1.0,0.0062,0.0098,0.0157,0.0371,0.2175,0.1858,1.2616,0.0,0.1302,0.1271,0.0
62,0.9971,0.0,0.0029,279.16,38.49,1.0,0.0064,0.0065,0.0157,0.0365,0.2203,0.1671,1.2685,0.0,0.1318,0.1288,-0.0013
63,0.9973,0.0,0.0027,263.46,37.72,1.0,0.0071,0.0107,0.016,0.0377,0.2202,0.1877,1.3098,0.0,0.1327,0.1294,0.0
64,0.9973,0.0,0.0027,276.71,40.21,1.0,0.0081,0.0123,0.0157,0.0376,0.2204,0.1922,1.292,0.0,0.1322,0.1289,-0.0011
65,0.9972,0.0,0.0028,284.56,40.96,1.0,0.005,0.0065,0.0156,0.0368,0.2208,0.1707,1.2974,0.0,0.1334,0.1303,0.0
66,0.9974,0.0,0.0026,266.84,37.91,1.0,0.0061,0.009,0.0157,0.0372,0.2214,0.182,1.3603,0.0,0.1375,0.1344,0.0
67,0.9974,0.0,0.0026,267.93,37.82,1.0,0.0052,0.0056,0.0156,0.0367,0.2191,0.1651,1.308,0.0,0.1366,0.1336,-0.0006
68,0.9979,0.0,0.0021,261.38,36.33,1.0,0.0053,0.005,0.0159,0.0366,0.2211,0.1678,1.3053,0.0,0.1356,0.1325,-0.0004
69,0.9976,0.0,0.0024,267.98,37.92,1.0,0.0077,0.0099,0.016,0.0371,0.2202,0.1847,1.2813,0.0,0.1316,0.1285,-0.0015
70,0.9969,0.0,0.0031,264.66,37.09,1.0,0.0071,0.0115,0.0159,0.0373,0.2208,0.1884,1.3013,0.0,0.1331,0.1299,-0.0005
71,0.9975,0.0,0.0025,280.8,41.08,1.0,0.006,0.0083,0.0158,0.0371,0.2192,0.1821,1.2807,0.0,0.1298,0.1268,0.0
72,0.9979,0.0,0.0021,268.19,37.74,1.0,0.0081,0.0117,0.016,0.0376,0.2206,0.1896,1.2327,0.0,0.1265,0.1234,-0.0009
73,0.9982,0.0,0.0018,274.29,39.02,1.0,0.0067,0.0097,0.0158,0.0373,0.2212,0.1856,1.2755,0.0,0.1315,0.1284,0.0
74,0.9983,0.0,0.0017,281.97,40.69,1.0,0.0075,0.0096,0.0164,0.0375,0.221,0.1883,1.2645,0.0,0.1301,0.1269,-0.0007
75,0.9982,0.0,0.0018,285.29,41.0,1.0,0.0069,0.0089,0.0157,0.0374,0.2209,0.1841,1.3382,0.0,0.136,0.1329,0.0
76,0.9983,0.0,0.0017,304.7,43.81,1.0,0.0058,0.0072,0.0159,0.0369,0.2212,0.1782,1.323,0.0,0.1348,0.1316,0.0
77,0.9983,0.0,0.0017,269.42,38.86,1.0,0.0072,0.0123,0.0157,0.0376,0.2204,0.1988,1.3229,0.0,0.1325,0.1292,0.0
78,0.9985,0.0,0.0015,290.25,42.11,1.0,0.0062,0.0094,0.0158,0.0369,0.2203,0.1851,1.364,0.0,0.1372,0.1339,0.0
79,0.9983,0.0,0.0017,288.16,42.47,1.0,0.0068,0.009,0.0156,0.0368,0.2206,0.1839,1.2793,0.0,0.1292,0.1261,-0.0004
80,0.9982,0.0,0.0018,268.86,38.03,1.0,0.0092,0.0152,0.0161,0.0383,0.2204,0.2066,1.3054,0.0,0.1325,0.1292,-0.0007
81,0.9981,0.0,0.0019,307.62,45.22,1.0,0.0092,0.0142,0.0155,0.0378,0.2226,0.2043,1.3408,0.0,0.1351,0.1317,-0.0007
82,0.9979,0.0,0.0021,282.9,40.56,1.0,0.0067,0.0074,0.0156,0.0367,0.2214,0.1741,1.2964,0.0,0.1317,0.1285,-0.0013
83,0.9974,0.0,0.0026,252.78,36.75,1.0,0.0083,0.0119,0.0163,0.0377,0.2212,0.1913,1.277,0.0,0.128,0.1248,-0.0015
84,0.9967,0.0,0.0033,304.9,43.95,1.0,0.0065,0.0099,0.0157,0.0369,0.2224,0.1837,1.2739,0.0,0.1295,0.1263,-0.0007
85,0.9965,0.0,0.0035,266.89,37.53,1.0,0.0071,0.0078,0.0157,0.0367,0.2205,0.1788,1.2955,0.0,0.1309,0.1277,-0.0008
86,0.9964,0.0,0.0036,260.53,37.56,1.0,0.0076,0.0124,0.016,0.0372,0.2232,0.1938,1.3337,0.0,0.1318,0.1284,-0.0007
87,0.9968,0.0,0.0032,311.41,45.31,1.0,0.0068,0.0118,0.0155,0.0371,0.2207,0.196,1.3375,0.0,0.1328,0.1295,0.0
88,0.997,0.0,0.003,288.82,42.13,1.0,0.006,0.0084,0.0153,0.037,0.2217,0.1784,1.2618,0.0,0.1286,0.1254,0.0
